id,category,title,definition,type,units,source,changes,notes
line_1,Social organization,The social organization of the vocal group,"This line describes the social organization of the singing group. Here you will find variations of “call and response.” Two basic elements of group organization are considered: 1) Prominence of solo or leader’s part; 2) Type of group organization. The scale is one of increasingly integrated social relations, from solo to interlock.",Categorical,,,,
line_2,Orchestra,Relationship of orchestra to vocal parts,"The term “orchestra” refers to the performers of any non-vocal sounds heard on the record, whether they be body-produced (clapping, stamping) or object-produced by anything from two sticks to a symphony orchestra.",Categorical,,,,
line_3,Orchestra,Social organization of the orchestra,"Line 3 and Line 1 (Social Organization of the Vocal Group) correspond, but the social relationships between the orchestra’s parts are more difficult to identify—for example, it is often hard to distinguish between types of overlap. In many cases, two or more coding situations may be equally important, requiring multiple coding. The scale is one of increasing integration, from solo to interlock.",Categorical,,,,
line_4,Musical organization,Musical organization of the vocal part,The musical coordination amongst the singers in a group considers both melodic and rhythmic elements.,Categorical,,,,
line_5,Musical organization,Tonal blend of the vocal group,"Both diffuse and cohesive sounds are pleasing within a given aesthetic. Much tonal blend depends upon wide, clear voicing and the relative absence of vocal noise and ornamentation. In contrast, with tonal independence, no individual yields to another, producing a noisy effect. Intermediate blend is often a reedy unison in which individual voices are heard.",Ordinal,,,,
line_6,Musical organization,Rhythmic coordination of the vocal group,"The degree of rhythmic coordination between members of the singing group depends on the degree to which its members coordinate their attacks and releases. Rhythmic blend is considered maximal when attacks and releases are precisely coordinated. If movement from note to note is staggered, then rhythmic blend is considered minimal. Both effects are aesthetically grounded, powerful, and pleasing.",Categorical,,,,
line_7,Musical organization,Musical organization of the orchestra,"Overall musical coordination amongst members of the orchestra, taking both melodic and rhythmic elements into account. Here, polyrhythm is treated as a type of polyphony, as each part is independent.",Ordinal,,,,
line_8,Musical organization,Tonal blend of the orchestra,"The concept of tonal blend applies to orchestras differently than to voices. An orchestra composed of several different kinds of instruments can rarely achieve the same degree of tonal unity as a chorus of voices. Consequently, the measure of blend for orchestras is not uniformity of timbre, but rather the overall sonority of the ensemble.",Ordinal,,,,
line_9,Orchestra,Rhythmic coordination of the orchestra,"Rates the degree of rhythmic coordination between members of the orchestra. If all attacks and releases are precisely coordinated, rhythmic blend is considered maximal. If, on the other hand, movements from note to note are invariably asynchronous, rhythmic blend is considered minimal.",Ordinal,,,,
line_10,Social organization,Repetition of text,"Listening to the text as it is performed, consider the degree of repetition in the text without considering the meaning of the words. Knowledge of the language of the text has no bearing on this rating. Instead, make a judgment about the proportion of the text in the whole song that seems to be repeated, or which consists of words that have no lexical meaning.",Categorical,,,,
line_11,Metrical pattern,Overall rhythm: vocal,"In most musical styles, the performer or performers employ a single, overall rhythmic “ground plan,” which serves as a point of reference for the infinite variety of rhythmic detail possible within the scheme. Although many such overall formats are possible, they have been divided here into five general categories. The categories for this measure apply to the overall rhythm of the voices. In order to code the instrumental part, refer to Line 13.",Categorical,,,,
line_12,Rhythmic relationship,Rhythmic relationship within the vocal group,"Singing groups establish their rhythmic activity in a number of ways. In some cases, all singers or parts in a chorus may stick to the main rhythm. In others, there may be one or more contrasting rhythmic parts. This line provides seven descriptive categories for the various types of rhythmic relationships that link a group together within one of the overall metrical patterns already coded in Line 11.",Categorical,,,,
line_13,Metrical pattern,Overall rhythm: orchestra,"In most musical styles, the performer or performers employ a single, overall rhythmic plan that serves as a point of reference for the great variety of rhythmic detail possible within the scheme. Although a large number of such overall schemes are possible, here they are divided them into six general categories. The categories for this measure apply to the overall rhythm of the instrumental part.",Categorical,,,,
line_14,Rhythmic relationship,Rhythmic relationship within the orchestra,The various types of relationships between the instruments are rated here.,Categorical,,,,
line_15,Melodic form,Melodic shape,"The characteristic contours of the vocal line are described in very general terms. While most of the other lines are scalar to some degree, this line did not lend itself to such treatment. Hence, the sequence of the four categories of melodic shape is arbitrary.",Categorical,,,,
line_16,Melodic form,Melodic form,"Line 16 is an attempt to deal succinctly with the full range of melodic forms. At one end of the scale is simple litany, defined here as a short tune composed of one or two phrases repeated over and over again; in the middle there are strophic forms; and at the other end is the most complex type, through-composed, in which many varied phrases are strung together in a fashion that to some listeners may seem to be almost formless. Degrees of melodic variation within these forms are dealt with here as well.",Ordinal,,,,
line_17,Metrical pattern,Phrase length,"A simple five-point scale is used to describe phrase length. Coding was done without a stopwatch for half the song sample, and then a test with a stopwatch was made. It was found that the length of phrase rated by ear closely approximated the stopwatch measurements.",Ordinal,,,,
line_18,Melodic form,Number of phrases,"Determine the number of melodic phrases that occur in a song before a full repeat of the entire phrase sequence, as well as the presence or absence of phrase symmetry.",Ordinal,,,,
line_19,Articulation,Position of final tone,"The relation of the final note to the total range of the song. The ear training one develops through listening to the musical examples facilitates a simple, non-technical approach to the concepts outlined here. The rating scale used is a relatively simple one.",Ordinal,,,,
line_20,Musical characterstics,Melodic range,"This is a method of judging the total melodic range of a song, which is the distance between its highest and lowest notes. Careful listening makes it possible to take a non-technical approach to this measure.",Ordinal,,,,
line_21,Articulation,Interval size,"An interval is the distance in pitch between two notes. Here interval size is estimated by using a subjective five-point scale, in order to determine the relative frequency of one or more size-categories of interval in a performance.",Ordinal,,,,
line_22,Musical characterstics,Polyphonic type,"This measure considers the use of simultaneously produced intervals other than unison or the octave. Two-part intervals of this kind are considered polyphony, as well as harmonies of greater complexity. Simultaneously produced intervals may also occur in heterophony. (See also Line 4.)",Categorical,,,,
line_23,Ornament,Embellishment,"Embellishment is one of several devices used by the singer as a kind of qualification, or ornament, of the “basic” melodic line. An embellished melodic line contains two entirely distinct kinds of note value, the embellished part being much more rapid and ephemeral than the melodic part.",Ordinal,,,,
line_24,Dynamics,Tempo,"As employed in Cantometrics, tempo is based on a relative and approximate determination of the speed or speeds of a performance.",Ordinal,,,,
line_25,Dynamics,Volume,"Volume measures the relative degree of loudness in a performance. As with tempo, a subjective scale cued by the human ear proved most useful for determining volume. A decibel count of volume in any given recording is affected by so many factors that it would be meaningless unless every stage of both the recording and playback were subject to the most rigorous control.",Ordinal,,,,
line_26,Metrical pattern,Rubato: vocal,A judgment about how strictly tempo is maintained during a vocal performance.,Ordinal,,,,
line_27,Metrical pattern,Rubato: orchestra,"A judgment about how strictly tempo is maintained during a performance, applied to the orchestra or accompanying instruments.",Ordinal,,,,
line_28,Ornament,Glissando,"Glissando is the effect created when the voice slides smoothly from one tone to another, passing through all the intermediate pitch levels.",Ordinal,,,,
line_29,Ornament,Melisma,"The same syllable of text sung to two or more notes of melody—or, conversely, the passage of several notes over one syllable.",Ordinal,,,,
line_30,Ornament,Tremolo,"Tremolo is a quavering or shaking in the voice, heard as an undulation between two closely adjacent pitches or tone colors. It is usually discernible only on notes held for an appreciable length of time.",Ordinal,,,,
line_31,Ornament,Glottal,"Glottal articulation is the product of noticeably forceful activity in the pharyngeal, or glottal, area in the back of the throat. Some singers actually manipulate their laryngeal prominence (Adam’s apple) with their fingers to produce this effect.",Ordinal,,,,
line_32,Dynamics,Vocal pitch (register),"Vocal pitch refers to the tonal height, or frequency, of the voice. It is commonly used to describe the key most natural for the voice of the singer.",Ordinal,,,,
line_33,Vocal noise,Vocal width,"This measure concerns the contrast between voices that sound mellow, relaxed, and resonant (wide), and voices that are tense, pinched, and restricted in resonance (narrow).",Ordinal,,,,
line_34,Vocal noise,Nasality,"A nasalized tone is a strong marker of some singing styles even in the absence of nasal syllables, probably because singing is normally louder and more forceful than speaking. When a wide sample of recorded song is examined, the absence of nasalization in some styles is also striking. For this reason, nasalization is coded, in spite of the vagueness of the term.",Ordinal,,,,
line_35,Vocal noise,Rasp,"Rasp is frequently associated with very marked, forced vocalizing. It cuts through musical performances in which everyone is singing loudly with a loud accompaniment. In some parts of the world, performers sing in a grating tone, at the same time forcefully emphasizing consonants. The result is clear articulation, but with a noisier tonal image.",Ordinal,,,,
line_36,Dynamics,Accent,"Accent is heard as the dynamic attack on sung tones. It describes the prominence given to a note or chord, usually by increasing the volume or lengthening the duration, or by a brief preceding silence.",Ordinal,,,,
line_37,Articulation,Enunciation,"Employing a scale of five degrees, this measure evaluates how precisely consonants are articulated in sung texts. It must be borne in mind that, in general, enunciation in singing is bound to be less clear than in speaking.",Ordinal,,,,
